期別	收盤	漲跌	漲跌(%)	成交量(億元)	融資增減	融資餘額	融卷增減	融卷餘額	外資買賣超(億元)	投信買賣超(億元)	自營商買賣超(億元)	三大法人合計
'26/02/11	297.71	1.19	0.4	"1,217.58"	-9.04	"1,313.28"	"1,058"	"47,637"	35.28	-16.09	-9.251	9.93
'26/02/10	296.52	-0.1	-0.03	"1,454.70"	-6.62	"1,322.33"	"-1,330"	"46,579"	22.19	-26.23	-14.84	-18.88
'26/02/09	296.62	5.9	2.03	"1,456.24"	-2.45	"1,328.95"	-323	"47,909"	60.91	4.521	6.612	72.04
'26/02/06	290.72	-5.64	-1.9	"1,620.70"	-9.7	"1,331.40"	"-4,836"	"48,232"	-84.86	1.811	-18.03	-101.1
'26/02/05	296.36	-5.16	-1.71	"1,562"	-9.94	"1,341.10"	"-1,783"	"53,068"	-10.19	4.733	-5.831	-11.29
'26/02/04	301.52	3.26	1.09	"1,432.31"	13.7	"1,351.04"	"1,828"	"54,851"	22.82	-7.747	8.086	23.16
'26/02/03	298.26	3.94	1.34	"1,822.95"	4.7	"1,337.34"	-458	"53,023"	52.22	-8.238	-11.57	32.41
'26/02/02	294.32	-6.46	-2.15	"1,480.14"	-17.9	"1,332.64"	"-2,670"	"53,481"	-4.452	-8.888	-15.43	-28.77
'26/01/30	300.78	-4.7	-1.54	"1,758.31"	2.83	"1,350.54"	"-4,627"	"56,151"	-23.49	-2.307	-4.554	-30.35
'26/01/29	305.48	-3.8	-1.23	"2,229.26"	-11	"1,347.71"	-504	"60,778"	-40.44	17.78	-27.23	-49.89
'26/01/28	309.28	4.02	1.32	"2,236.89"	24.2	"1,358.66"	89	"61,282"	22.7	32.56	2.951	58.21
'26/01/27	305.26	2.61	0.86	"1,884.28"	11.6	"1,334.47"	-697	"61,193"	2.842	7.386	0.612	10.84
'26/01/26	302.65	3.39	1.13	"1,549.33"	10.4	"1,322.92"	"1,226"	"61,890"	18.98	-6.308	1.754	14.43
'26/01/23	299.26	1.44	0.48	"1,749.21"	11.1	"1,312.54"	"-4,071"	"60,664"	47.43	3.56	-0.6	50.39
'26/01/22	297.82	4.66	1.59	"2,026.14"	9.57	"1,301.40"	"-1,940"	"64,735"	41.48	28.89	8.798	79.17
'26/01/21	293.16	-4.45	-1.5	"2,265.29"	-10.3	"1,291.79"	"-3,687"	"66,661"	-6.305	32.38	-35.53	-9.459
'26/01/20	297.61	2.5	0.85	"1,854.79"	12.5	"1,302.04"	"-1,022"	"70,348"	41.73	6.63	3.092	51.45
'26/01/19	295.11	2.33	0.8	"1,533.85"	-2.59	"1,289.49"	-637	"71,370"	-7.925	4.383	-0.226	-3.768
'26/01/16	292.78	1.62	0.56	"1,679.04"	9.74	"1,292.08"	"1,223"	"72,007"	-58	-2.979	-3.088	-64.07
'26/01/15	291.16	0.56	0.19	"1,510.97"	4.24	"1,282.35"	"1,900"	"70,784"	-16.09	-8.762	-7.492	-32.35
'26/01/14	290.6	5.24	1.84	"1,588.46"	18	"1,278.11"	"3,452"	"68,884"	42.88	13.44	7.197	63.52
'26/01/13	285.36	-1.21	-0.42	"1,673.77"	0.57	"1,260.16"	"-1,386"	"65,432"	-2.188	-1.111	-13.64	-16.94
'26/01/12	286.57	6.72	2.4	"1,547.56"	25.4	"1,259.59"	"-1,029"	"66,818"	-24.99	-7.79	10.68	-22.1
'26/01/09	279.85	-0.21	-0.07	"1,493.27"	10.5	"1,234.20"	-419	"67,847"	-21.89	-9.971	-2.664	-34.52
'26/01/08	280.06	-1.38	-0.49	"1,551.80"	8.31	"1,223.66"	-577	"68,266"	8.204	10.59	-9.978	8.817
'26/01/07	281.44	2.47	0.89	"1,499.20"	-0.26	"1,215.35"	"-2,172"	"68,843"	-6.391	13.86	13.67	21.14
'26/01/06	278.97	3.31	1.2	"1,572.27"	12.8	"1,215.61"	561	"71,015"	-16.21	12.89	19.18	15.86
'26/01/05	275.66	-2.37	-0.85	"1,691.79"	12.4	"1,202.76"	"-5,958"	"70,454"	-52.48	11.73	8.405	-32.34
'26/01/02	278.03	1.79	0.65	"1,618.77"	15.1	"1,190.37"	214	"76,412"	-20.51	26.9	24.61	31
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
